PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,TpFare,Titulo,Apellido,Nombre,Año_de_Nacimiento,Familiares,Familia
1,0,3ª Clase,Hombres,22.0,7.25,S,Muy Barato,Mr,Braund,Owen,1890,1,Con Familia
2,1,1ª Clase,Mujeres,38.0,71.2833,C,Muy Caro,Mrs,Cumings,John,1874,1,Con Familia
3,1,3ª Clase,Mujeres,26.0,7.925,S,Barato,Miss,Heikkinen,Laina,1886,0,Sin Familia
4,1,1ª Clase,Mujeres,35.0,53.1,S,Muy Caro,Mrs,Futrelle,Jacques,1877,1,Con Familia
5,0,3ª Clase,Hombres,35.0,8.05,S,Barato,Mr,Allen,William,1877,0,Sin Familia
6,0,3ª Clase,Hombres,32.0,8.4583,Q,Barato,Mr,Moran,James,1880,0,Sin Familia
7,0,1ª Clase,Hombres,54.0,51.8625,S,Muy Caro,Mr,McCarthy,Timothy,1858,0,Sin Familia
8,0,3ª Clase,Hombres,2.0,21.075,S,Caro,Master,Palsson,Gosta,1910,4,Con Familia
9,1,3ª Clase,Mujeres,27.0,11.1333,S,Barato,Mrs,Johnson,Oscar,1885,2,Con Familia
10,1,2ª Clase,Mujeres,14.0,30.0708,C,Caro,Mrs,Nasser,Nicholas,1898,1,Con Familia
11,1,3ª Clase,Mujeres,4.0,16.7,S,Caro,Miss,Sandstrom,Marguerite,1908,2,Con Familia
12,1,1ª Clase,Mujeres,58.0,26.55,S,Caro,Miss,Bonnell,Elizabeth,1854,0,Sin Familia
13,0,3ª Clase,Hombres,20.0,8.05,S,Barato,Mr,Saundercock,William,1892,0,Sin Familia
14,0,3ª Clase,Hombres,39.0,31.275,S,Muy Caro,Mr,Andersson,Anders,1873,6,Con Familia
15,0,3ª Clase,Mujeres,14.0,7.8542,S,Muy Barato,Miss,Vestrom,Hulda,1898,0,Sin Familia
16,1,2ª Clase,Mujeres,55.0,16.0,S,Caro,Mrs,Hewlett,,1857,0,Sin Familia
17,0,3ª Clase,Hombres,2.0,29.125,Q,Caro,Master,Rice,Eugene,1910,5,Con Familia
18,1,2ª Clase,Hombres,32.0,13.0,S,Barato,Mr,Williams,Charles,1880,0,Sin Familia
19,0,3ª Clase,Mujeres,31.0,18.0,S,Caro,Mrs,Planke,Julius,1881,1,Con Familia
20,1,3ª Clase,Mujeres,36.0,7.225,C,Muy Barato,Mrs,Masselmani,Fatima,1876,0,Sin Familia
21,0,2ª Clase,Hombres,35.0,26.0,S,Caro,Mr,Fynney,Joseph,1877,0,Sin Familia
22,1,2ª Clase,Hombres,34.0,13.0,S,Barato,Mr,Beesley,Lawrence,1878,0,Sin Familia
23,1,3ª Clase,Mujeres,15.0,8.0292,Q,Barato,Miss,McGowan,Anna,1897,0,Sin Familia
24,1,1ª Clase,Hombres,28.0,35.5,S,Muy Caro,Mr,Sloper,William,1884,0,Sin Familia
25,0,3ª Clase,Mujeres,8.0,21.075,S,Caro,Miss,Palsson,Torborg,1904,4,Con Familia
26,1,3ª Clase,Mujeres,38.0,31.3875,S,Muy Caro,Mrs,Asplund,Carl,1874,6,Con Familia
27,0,3ª Clase,Hombres,32.0,7.225,C,Muy Barato,Mr,Emir,Farred,1880,0,Sin Familia
28,0,1ª Clase,Hombres,19.0,263.0,S,Muy Caro,Mr,Fortune,Charles,1893,5,Con Familia
29,1,3ª Clase,Mujeres,22.0,7.8792,Q,Muy Barato,Miss,Dwyer,Ellen,1890,0,Sin Familia
30,0,3ª Clase,Hombres,32.0,7.8958,S,Muy Barato,Mr,Todoroff,Lalio,1880,0,Sin Familia
31,0,1ª Clase,Hombres,40.0,27.7208,C,Caro,Don,Uruchurtu,Manuel,1872,0,Sin Familia
32,1,1ª Clase,Mujeres,36.0,146.5208,C,Muy Caro,Mrs,Spencer,William,1876,1,Con Familia
33,1,3ª Clase,Mujeres,22.0,7.75,Q,Muy Barato,Miss,Glynn,Mary,1890,0,Sin Familia
34,0,2ª Clase,Hombres,66.0,10.5,S,Barato,Mr,Wheadon,Edward,1846,0,Sin Familia
35,0,1ª Clase,Hombres,28.0,82.1708,C,Muy Caro,Mr,Meyer,Edgar,1884,1,Con Familia
36,0,1ª Clase,Hombres,42.0,52.0,S,Muy Caro,Mr,Holverson,Alexander,1870,1,Con Familia
37,1,3ª Clase,Hombres,32.0,7.2292,C,Muy Barato,Mr,Mamee,Hanna,1880,0,Sin Familia
38,0,3ª Clase,Hombres,21.0,8.05,S,Barato,Mr,Cann,Ernest,1891,0,Sin Familia
39,0,3ª Clase,Mujeres,18.0,18.0,S,Caro,Miss,Planke,Augusta,1894,2,Con Familia
40,1,3ª Clase,Mujeres,14.0,11.2417,C,Barato,Miss,Yarred,Jamila,1898,1,Con Familia
41,0,3ª Clase,Mujeres,40.0,9.475,S,Barato,Mrs,Ahlin,Johan,1872,1,Con Familia
42,0,2ª Clase,Mujeres,27.0,21.0,S,Caro,Mrs,Turpin,William,1885,1,Con Familia
43,0,3ª Clase,Hombres,32.0,7.8958,C,Muy Barato,Mr,Kraeff,Theodor,1880,0,Sin Familia
44,1,2ª Clase,Mujeres,3.0,41.5792,C,Muy Caro,Miss,Laroche,Simonne,1909,3,Con Familia
45,1,3ª Clase,Mujeres,19.0,7.8792,Q,Muy Barato,Miss,Devaney,Margaret,1893,0,Sin Familia
46,0,3ª Clase,Hombres,32.0,8.05,S,Barato,Mr,Rogers,William,1880,0,Sin Familia
47,0,3ª Clase,Hombres,32.0,15.5,Q,Caro,Mr,Lennon,Denis,1880,1,Con Familia
48,1,3ª Clase,Mujeres,22.0,7.75,Q,Muy Barato,Miss,Driscoll,Bridget,1890,0,Sin Familia
49,0,3ª Clase,Hombres,32.0,21.6792,C,Caro,Mr,Samaan,Youssef,1880,2,Con Familia
50,0,3ª Clase,Mujeres,18.0,17.8,S,Caro,Mrs,Franchi,Josef,1894,1,Con Familia
51,0,3ª Clase,Hombres,7.0,39.6875,S,Muy Caro,Master,Panula,Juha,1905,5,Con Familia
52,0,3ª Clase,Hombres,21.0,7.8,S,Muy Barato,Mr,Nosworthy,Richard,1891,0,Sin Familia
53,1,1ª Clase,Mujeres,49.0,76.7292,C,Muy Caro,Mrs,Harper,Henry,1863,1,Con Familia
54,1,2ª Clase,Mujeres,29.0,26.0,S,Caro,Mrs,Faunthorpe,Lizzie,1883,1,Con Familia
55,0,1ª Clase,Hombres,65.0,61.9792,C,Muy Caro,Mr,Ostby,Engelhart,1847,1,Con Familia
56,1,1ª Clase,Hombres,32.0,35.5,S,Muy Caro,Mr,Woolner,Hugh,1880,0,Sin Familia
57,1,2ª Clase,Mujeres,21.0,10.5,S,Barato,Miss,Rugg,Emily,1891,0,Sin Familia
58,0,3ª Clase,Hombres,28.5,7.2292,C,Muy Barato,Mr,Novel,Mansouer,1884,0,Sin Familia
59,1,2ª Clase,Mujeres,5.0,27.75,S,Caro,Miss,West,Constance,1907,3,Con Familia
60,0,3ª Clase,Hombres,11.0,46.9,S,Muy Caro,Master,Goodwin,William,1901,7,Con Familia
61,0,3ª Clase,Hombres,22.0,7.2292,C,Muy Barato,Mr,Sirayanian,Orsen,1890,0,Sin Familia
62,1,1ª Clase,Mujeres,38.0,80.0,S,Muy Caro,Miss,Icard,Amelie,1874,0,Sin Familia
63,0,1ª Clase,Hombres,45.0,83.475,S,Muy Caro,Mr,Harris,Henry,1867,1,Con Familia
64,0,3ª Clase,Hombres,4.0,27.9,S,Caro,Master,Skoog,Harald,1908,5,Con Familia
65,0,1ª Clase,Hombres,32.0,27.7208,C,Caro,Mr,Stewart,Albert,1880,0,Sin Familia
66,1,3ª Clase,Hombres,5.0,15.2458,C,Caro,Master,Moubarek,Gerios,1907,2,Con Familia
67,1,2ª Clase,Mujeres,29.0,10.5,S,Barato,Mrs,Nye,,1883,0,Sin Familia
68,0,3ª Clase,Hombres,19.0,8.1583,S,Barato,Mr,Crease,Ernest,1893,0,Sin Familia
69,1,3ª Clase,Mujeres,17.0,7.925,S,Barato,Miss,Andersson,Erna,1895,6,Con Familia
70,0,3ª Clase,Hombres,26.0,8.6625,S,Barato,Mr,Kink,Vincenz,1886,2,Con Familia
71,0,2ª Clase,Hombres,32.0,10.5,S,Barato,Mr,Jenkin,Stephen,1880,0,Sin Familia
72,0,3ª Clase,Mujeres,16.0,46.9,S,Muy Caro,Miss,Goodwin,Lillian,1896,7,Con Familia
73,0,2ª Clase,Hombres,21.0,73.5,S,Muy Caro,Mr,Hood,Ambrose,1891,0,Sin Familia
74,0,3ª Clase,Hombres,26.0,14.4542,C,Barato,Mr,Chronopoulos,Apostolos,1886,1,Con Familia
75,1,3ª Clase,Hombres,32.0,56.4958,S,Muy Caro,Mr,Bing,Lee,1880,0,Sin Familia
76,0,3ª Clase,Hombres,25.0,7.65,S,Muy Barato,Mr,Moen,Sigurd,1887,0,Sin Familia
77,0,3ª Clase,Hombres,32.0,7.8958,S,Muy Barato,Mr,Staneff,Ivan,1880,0,Sin Familia
78,0,3ª Clase,Hombres,32.0,8.05,S,Barato,Mr,Moutal,Rahamin,1880,0,Sin Familia
79,1,2ª Clase,Hombres,0.83,29.0,S,Caro,Master,Caldwell,Alden,1912,2,Con Familia
80,1,3ª Clase,Mujeres,30.0,12.475,S,Barato,Miss,Dowdell,Elizabeth,1882,0,Sin Familia
81,0,3ª Clase,Hombres,22.0,9.0,S,Barato,Mr,Waelens,Achille,1890,0,Sin Familia
82,1,3ª Clase,Hombres,29.0,9.5,S,Barato,Mr,Sheerlinck,Jan,1883,0,Sin Familia
83,1,3ª Clase,Mujeres,22.0,7.7875,Q,Muy Barato,Miss,McDermott,Brigdet,1890,0,Sin Familia
84,0,1ª Clase,Hombres,28.0,47.1,S,Muy Caro,Mr,Carrau,Francisco,1884,0,Sin Familia
85,1,2ª Clase,Mujeres,17.0,10.5,S,Barato,Miss,Ilett,Bertha,1895,0,Sin Familia
86,1,3ª Clase,Mujeres,33.0,15.85,S,Caro,Mrs,Backstrom,Karl,1879,3,Con Familia
87,0,3ª Clase,Hombres,16.0,34.375,S,Muy Caro,Mr,Ford,William,1896,4,Con Familia
88,0,3ª Clase,Hombres,32.0,8.05,S,Barato,Mr,Slocovski,Selman,1880,0,Sin Familia
89,1,1ª Clase,Mujeres,23.0,263.0,S,Muy Caro,Miss,Fortune,Mabel,1889,5,Con Familia
90,0,3ª Clase,Hombres,24.0,8.05,S,Barato,Mr,Celotti,Francesco,1888,0,Sin Familia
91,0,3ª Clase,Hombres,29.0,8.05,S,Barato,Mr,Christmann,Emil,1883,0,Sin Familia
92,0,3ª Clase,Hombres,20.0,7.8542,S,Muy Barato,Mr,Andreasson,Paul,1892,0,Sin Familia
93,0,1ª Clase,Hombres,46.0,61.175,S,Muy Caro,Mr,Chaffee,Herbert,1866,1,Con Familia
94,0,3ª Clase,Hombres,26.0,20.575,S,Caro,Mr,Dean,Bertram,1886,3,Con Familia
95,0,3ª Clase,Hombres,59.0,7.25,S,Muy Barato,Mr,Coxon,Daniel,1853,0,Sin Familia
96,0,3ª Clase,Hombres,32.0,8.05,S,Barato,Mr,Shorney,Charles,1880,0,Sin Familia
97,0,1ª Clase,Hombres,71.0,34.6542,C,Muy Caro,Mr,Goldschmidt,George,1841,0,Sin Familia
98,1,1ª Clase,Hombres,23.0,63.3583,C,Muy Caro,Mr,Greenfield,William,1889,1,Con Familia
99,1,2ª Clase,Mujeres,34.0,23.0,S,Caro,Mrs,Doling,John,1878,1,Con Familia
100,0,2ª Clase,Hombres,34.0,26.0,S,Caro,Mr,Kantor,Sinai,1878,1,Con Familia
101,0,3ª Clase,Mujeres,28.0,7.8958,S,Muy Barato,Miss,Petranec,Matilda,1884,0,Sin Familia
102,0,3ª Clase,Hombres,32.0,7.8958,S,Muy Barato,Mr,Petroff,Pastcho,1880,0,Sin Familia
103,0,1ª Clase,Hombres,21.0,77.2875,S,Muy Caro,Mr,White,Richard,1891,1,Con Familia
104,0,3ª Clase,Hombres,33.0,8.6542,S,Barato,Mr,Johansson,Gustaf,1879,0,Sin Familia
105,0,3ª Clase,Hombres,37.0,7.925,S,Barato,Mr,Gustafsson,Anders,1875,2,Con Familia
106,0,3ª Clase,Hombres,28.0,7.8958,S,Muy Barato,Mr,Mionoff,Stoytcho,1884,0,Sin Familia
107,1,3ª Clase,Mujeres,21.0,7.65,S,Muy Barato,Miss,Salkjelsvik,Anna,1891,0,Sin Familia
108,1,3ª Clase,Hombres,32.0,7.775,S,Muy Barato,Mr,Moss,Albert,1880,0,Sin Familia
109,0,3ª Clase,Hombres,38.0,7.8958,S,Muy Barato,Mr,Rekic,Tido,1874,0,Sin Familia
110,1,3ª Clase,Mujeres,22.0,24.15,Q,Caro,Miss,Moran,Bertha,1890,1,Con Familia
111,0,1ª Clase,Hombres,47.0,52.0,S,Muy Caro,Mr,Porter,Walter,1865,0,Sin Familia
112,0,3ª Clase,Mujeres,14.5,14.4542,C,Barato,Miss,Zabour,Hileni,1898,1,Con Familia
113,0,3ª Clase,Hombres,22.0,8.05,S,Barato,Mr,Barton,David,1890,0,Sin Familia
114,0,3ª Clase,Mujeres,20.0,9.825,S,Barato,Miss,Jussila,Katriina,1892,1,Con Familia
115,0,3ª Clase,Mujeres,17.0,14.4583,C,Caro,Miss,Attalah,Malake,1895,0,Sin Familia
116,0,3ª Clase,Hombres,21.0,7.925,S,Barato,Mr,Pekoniemi,Edvard,1891,0,Sin Familia
117,0,3ª Clase,Hombres,70.5,7.75,Q,Muy Barato,Mr,Connors,Patrick,1842,0,Sin Familia
118,0,2ª Clase,Hombres,29.0,21.0,S,Caro,Mr,Turpin,William,1883,1,Con Familia
119,0,1ª Clase,Hombres,24.0,247.5208,C,Muy Caro,Mr,Baxter,Quigg,1888,1,Con Familia
120,0,3ª Clase,Mujeres,2.0,31.275,S,Muy Caro,Miss,Andersson,Ellis,1910,6,Con Familia
121,0,2ª Clase,Hombres,21.0,73.5,S,Muy Caro,Mr,Hickman,Stanley,1891,2,Con Familia
122,0,3ª Clase,Hombres,32.0,8.05,S,Barato,Mr,Moore,Leonard,1880,0,Sin Familia
123,0,2ª Clase,Hombres,32.5,30.0708,C,Caro,Mr,Nasser,Nicholas,1880,1,Con Familia
124,1,2ª Clase,Mujeres,32.5,13.0,S,Barato,Miss,Webber,Susan,1880,0,Sin Familia
125,0,1ª Clase,Hombres,54.0,77.2875,S,Muy Caro,Mr,White,Percival,1858,1,Con Familia
126,1,3ª Clase,Hombres,12.0,11.2417,C,Barato,Master,Yarred,Elias,1900,1,Con Familia
127,0,3ª Clase,Hombres,32.0,7.75,Q,Muy Barato,Mr,McMahon,Martin,1880,0,Sin Familia
128,1,3ª Clase,Hombres,24.0,7.1417,S,Muy Barato,Mr,Madsen,Fridtjof,1888,0,Sin Familia
129,1,3ª Clase,Mujeres,22.0,22.3583,C,Caro,Miss,Peter,Anna,1890,2,Con Familia
130,0,3ª Clase,Hombres,45.0,6.975,S,Muy Barato,Mr,Ekstrom,Johan,1867,0,Sin Familia
131,0,3ª Clase,Hombres,33.0,7.8958,C,Muy Barato,Mr,Drazenoic,Jozef,1879,0,Sin Familia
132,0,3ª Clase,Hombres,20.0,7.05,S,Muy Barato,Mr,Coelho,Domingos,1892,0,Sin Familia
133,0,3ª Clase,Mujeres,47.0,14.5,S,Caro,Mrs,Robins,Alexander,1865,1,Con Familia
134,1,2ª Clase,Mujeres,29.0,26.0,S,Caro,Mrs,Weisz,Leopold,1883,1,Con Familia
135,0,2ª Clase,Hombres,25.0,13.0,S,Barato,Mr,Sobey,Samuel,1887,0,Sin Familia
136,0,2ª Clase,Hombres,23.0,15.0458,C,Caro,Mr,Richard,Emile,1889,0,Sin Familia
137,1,1ª Clase,Mujeres,19.0,26.2833,S,Caro,Miss,Newsom,Helen,1893,2,Con Familia
138,0,1ª Clase,Hombres,37.0,53.1,S,Muy Caro,Mr,Futrelle,Jacques,1875,1,Con Familia
139,0,3ª Clase,Hombres,16.0,9.2167,S,Barato,Mr,Osen,Olaf,1896,0,Sin Familia
140,0,1ª Clase,Hombres,24.0,79.2,C,Muy Caro,Mr,Giglio,Victor,1888,0,Sin Familia
141,0,3ª Clase,Mujeres,36.0,15.2458,C,Caro,Mrs,Boulos,Joseph,1876,2,Con Familia
142,1,3ª Clase,Mujeres,22.0,7.75,S,Muy Barato,Miss,Nysten,Anna,1890,0,Sin Familia
143,1,3ª Clase,Mujeres,24.0,15.85,S,Caro,Mrs,Hakkarainen,Pekka,1888,1,Con Familia
144,0,3ª Clase,Hombres,19.0,6.75,Q,Muy Barato,Mr,Burke,Jeremiah,1893,0,Sin Familia
145,0,2ª Clase,Hombres,18.0,11.5,S,Barato,Mr,Andrew,Edgardo,1894,0,Sin Familia
146,0,2ª Clase,Hombres,19.0,36.75,S,Muy Caro,Mr,Nicholls,Joseph,1893,2,Con Familia
147,1,3ª Clase,Hombres,27.0,7.7958,S,Muy Barato,Mr,Andersson,August,1885,0,Sin Familia
148,0,3ª Clase,Mujeres,9.0,34.375,S,Muy Caro,Miss,Ford,Robina,1903,4,Con Familia
149,0,2ª Clase,Hombres,36.5,26.0,S,Caro,Mr,Navratil,Michel,1876,2,Con Familia
150,0,2ª Clase,Hombres,42.0,13.0,S,Barato,Rev,Byles,Thomas,1870,0,Sin Familia
151,0,2ª Clase,Hombres,51.0,12.525,S,Barato,Rev,Bateman,Robert,1861,0,Sin Familia
152,1,1ª Clase,Mujeres,22.0,66.6,S,Muy Caro,Mrs,Pears,Thomas,1890,1,Con Familia
153,0,3ª Clase,Hombres,55.5,8.05,S,Barato,Mr,Meo,Alfonzo,1857,0,Sin Familia
154,0,3ª Clase,Hombres,40.5,14.5,S,Caro,Mr,Billiard,Austin,1872,2,Con Familia
155,0,3ª Clase,Hombres,32.0,7.3125,S,Muy Barato,Mr,Olsen,Ole,1880,0,Sin Familia
156,0,1ª Clase,Hombres,51.0,61.3792,C,Muy Caro,Mr,Williams,Charles,1861,1,Con Familia
157,1,3ª Clase,Mujeres,16.0,7.7333,Q,Muy Barato,Miss,Gilnagh,Katherine,1896,0,Sin Familia
158,0,3ª Clase,Hombres,30.0,8.05,S,Barato,Mr,Corn,Harry,1882,0,Sin Familia
159,0,3ª Clase,Hombres,32.0,8.6625,S,Barato,Mr,Smiljanic,Mile,1880,0,Sin Familia
160,0,3ª Clase,Hombres,5.0,69.55,S,Muy Caro,Master,Sage,Thomas,1907,10,Con Familia
161,0,3ª Clase,Hombres,44.0,16.1,S,Caro,Mr,Cribb,John,1868,1,Con Familia
162,1,2ª Clase,Mujeres,40.0,15.75,S,Caro,Mrs,Watt,James,1872,0,Sin Familia
163,0,3ª Clase,Hombres,26.0,7.775,S,Muy Barato,Mr,Bengtsson,John,1886,0,Sin Familia
164,0,3ª Clase,Hombres,17.0,8.6625,S,Barato,Mr,Calic,Jovo,1895,0,Sin Familia
165,0,3ª Clase,Hombres,1.0,39.6875,S,Muy Caro,Master,Panula,Eino,1911,5,Con Familia
166,1,3ª Clase,Hombres,9.0,20.525,S,Caro,Master,Goldsmith,Frank,1903,2,Con Familia
167,1,1ª Clase,Mujeres,36.0,55.0,S,Muy Caro,Mrs,Chibnall,,1876,1,Con Familia
168,0,3ª Clase,Mujeres,45.0,27.9,S,Caro,Mrs,Skoog,William,1867,5,Con Familia
169,0,1ª Clase,Hombres,32.0,25.925,S,Caro,Mr,Baumann,John,1880,0,Sin Familia
170,0,3ª Clase,Hombres,28.0,56.4958,S,Muy Caro,Mr,Ling,Lee,1884,0,Sin Familia
171,0,1ª Clase,Hombres,61.0,33.5,S,Muy Caro,Mr,hoef,Wyckoff,1851,0,Sin Familia
172,0,3ª Clase,Hombres,4.0,29.125,Q,Caro,Master,Rice,Arthur,1908,5,Con Familia
173,1,3ª Clase,Mujeres,1.0,11.1333,S,Barato,Miss,Johnson,Eleanor,1911,2,Con Familia
174,0,3ª Clase,Hombres,21.0,7.925,S,Barato,Mr,Sivola,Antti,1891,0,Sin Familia
175,0,1ª Clase,Hombres,56.0,30.6958,C,Caro,Mr,Smith,James,1856,0,Sin Familia
176,0,3ª Clase,Hombres,18.0,7.8542,S,Muy Barato,Mr,Klasen,Klas,1894,2,Con Familia
177,0,3ª Clase,Hombres,5.0,25.4667,S,Caro,Master,Lefebre,Henry,1907,4,Con Familia
178,0,1ª Clase,Mujeres,50.0,28.7125,C,Caro,Miss,Isham,Ann,1862,0,Sin Familia
179,0,2ª Clase,Hombres,30.0,13.0,S,Barato,Mr,Hale,Reginald,1882,0,Sin Familia
180,0,3ª Clase,Hombres,36.0,0.0,S,Muy Barato,Mr,Leonard,Lionel,1876,0,Sin Familia
181,0,3ª Clase,Mujeres,22.0,69.55,S,Muy Caro,Miss,Sage,Constance,1890,10,Con Familia
182,0,2ª Clase,Hombres,32.0,15.05,C,Caro,Mr,Pernot,Rene,1880,0,Sin Familia
183,0,3ª Clase,Hombres,9.0,31.3875,S,Muy Caro,Master,Asplund,Clarence,1903,6,Con Familia
184,1,2ª Clase,Hombres,1.0,39.0,S,Muy Caro,Master,Becker,Richard,1911,3,Con Familia
185,1,3ª Clase,Mujeres,4.0,22.025,S,Caro,Miss,Heilmann,Luise,1908,2,Con Familia
186,0,1ª Clase,Hombres,32.0,50.0,S,Muy Caro,Mr,Rood,Hugh,1880,0,Sin Familia
187,1,3ª Clase,Mujeres,36.0,15.5,Q,Caro,Mrs,Brien,Thomas,1876,1,Con Familia
188,1,1ª Clase,Hombres,45.0,26.55,S,Caro,Mr,Romaine,Charles,1867,0,Sin Familia
189,0,3ª Clase,Hombres,40.0,15.5,Q,Caro,Mr,Bourke,John,1872,2,Con Familia
190,0,3ª Clase,Hombres,36.0,7.8958,S,Muy Barato,Mr,Turcin,Stjepan,1876,0,Sin Familia
191,1,2ª Clase,Mujeres,32.0,13.0,S,Barato,Mrs,Pinsky,,1880,0,Sin Familia
192,0,2ª Clase,Hombres,19.0,13.0,S,Barato,Mr,Carbines,William,1893,0,Sin Familia
193,1,3ª Clase,Mujeres,19.0,7.8542,S,Muy Barato,Miss,Jensen,Carla,1893,1,Con Familia
194,1,2ª Clase,Hombres,3.0,26.0,S,Caro,Master,Navratil,Michel,1909,2,Con Familia
195,1,1ª Clase,Mujeres,44.0,27.7208,C,Caro,Mrs,Brown,James,1868,0,Sin Familia
196,1,1ª Clase,Mujeres,58.0,146.5208,C,Muy Caro,Miss,Lurette,Elise,1854,0,Sin Familia
197,0,3ª Clase,Hombres,32.0,7.75,Q,Muy Barato,Mr,Mernagh,Robert,1880,0,Sin Familia
198,0,3ª Clase,Hombres,42.0,8.4042,S,Barato,Mr,Olsen,Karl,1870,1,Con Familia
199,1,3ª Clase,Mujeres,22.0,7.75,Q,Muy Barato,Miss,Madigan,Margaret,1890,0,Sin Familia
200,0,2ª Clase,Mujeres,24.0,13.0,S,Barato,Miss,Yrois,Henriette,1888,0,Sin Familia
201,0,3ª Clase,Hombres,28.0,9.5,S,Barato,Mr,Walle,Nestor,1884,0,Sin Familia
202,0,3ª Clase,Hombres,32.0,69.55,S,Muy Caro,Mr,Sage,Frederick,1880,10,Con Familia
203,0,3ª Clase,Hombres,34.0,6.4958,S,Muy Barato,Mr,Johanson,Jakob,1878,0,Sin Familia
204,0,3ª Clase,Hombres,45.5,7.225,C,Muy Barato,Mr,Youseff,Gerious,1867,0,Sin Familia
205,1,3ª Clase,Hombres,18.0,8.05,S,Barato,Mr,Cohen,Gurshon,1894,0,Sin Familia
206,0,3ª Clase,Mujeres,2.0,10.4625,S,Barato,Miss,Strom,Telma,1910,1,Con Familia
207,0,3ª Clase,Hombres,32.0,15.85,S,Caro,Mr,Backstrom,Karl,1880,1,Con Familia
208,1,3ª Clase,Hombres,26.0,18.7875,C,Caro,Mr,Albimona,Nassef,1886,0,Sin Familia
209,1,3ª Clase,Mujeres,16.0,7.75,Q,Muy Barato,Miss,Carr,Helen,1896,0,Sin Familia
210,1,1ª Clase,Hombres,40.0,31.0,C,Caro,Mr,Blank,Henry,1872,0,Sin Familia
211,0,3ª Clase,Hombres,24.0,7.05,S,Muy Barato,Mr,Ali,Ahmed,1888,0,Sin Familia
212,1,2ª Clase,Mujeres,35.0,21.0,S,Caro,Miss,Cameron,Clear,1877,0,Sin Familia
213,0,3ª Clase,Hombres,22.0,7.25,S,Muy Barato,Mr,Perkin,John,1890,0,Sin Familia
214,0,2ª Clase,Hombres,30.0,13.0,S,Barato,Mr,Givard,Hans,1882,0,Sin Familia
215,0,3ª Clase,Hombres,32.0,7.75,Q,Muy Barato,Mr,Kiernan,Philip,1880,1,Con Familia
216,1,1ª Clase,Mujeres,31.0,113.275,C,Muy Caro,Miss,Newell,Madeleine,1881,1,Con Familia
217,1,3ª Clase,Mujeres,27.0,7.925,S,Barato,Miss,Honkanen,Eliina,1885,0,Sin Familia
218,0,2ª Clase,Hombres,42.0,27.0,S,Caro,Mr,Jacobsohn,Sidney,1870,1,Con Familia
219,1,1ª Clase,Mujeres,32.0,76.2917,C,Muy Caro,Miss,Bazzani,Albina,1880,0,Sin Familia
220,0,2ª Clase,Hombres,30.0,10.5,S,Barato,Mr,Harris,Walter,1882,0,Sin Familia
221,1,3ª Clase,Hombres,16.0,8.05,S,Barato,Mr,Sunderland,Victor,1896,0,Sin Familia
222,0,2ª Clase,Hombres,27.0,13.0,S,Barato,Mr,Bracken,James,1885,0,Sin Familia
